"p","U:0","U:1","U:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6.1013e-05,0.12443,-9.5497e-06,0.0042928,0.00019524,3.2245e-05,5.8542e-05,-3.3568e-05,3.2597e-06,1.3665e-05,1,0.218,2,0.218,1
6.1168e-05,0.12429,-3.9492e-05,0.0041441,0.00019389,3.2239e-05,5.8209e-05,-3.3574e-05,3.1812e-06,1.3579e-05,1,0.22,2,0.22,1
6.1324e-05,0.12416,-6.9434e-05,0.0039954,0.00019255,3.2233e-05,5.7875e-05,-3.358e-05,3.1026e-06,1.3493e-05,1,0.222,2,0.222,1
6.1479e-05,0.12403,-9.9376e-05,0.0038466,0.0001912,3.2226e-05,5.7542e-05,-3.3585e-05,3.0241e-06,1.3407e-05,1,0.224,2,0.224,1
6.1634e-05,0.12389,-0.00012932,0.0036979,0.00018986,3.222e-05,5.7208e-05,-3.3591e-05,2.9456e-06,1.3321e-05,1,0.226,2,0.226,1
6.1789e-05,0.12376,-0.00015926,0.0035491,0.00018851,3.2213e-05,5.6875e-05,-3.3597e-05,2.8671e-06,1.3235e-05,1,0.228,2,0.228,1
6.1945e-05,0.12363,-0.0001892,0.0034004,0.00018716,3.2207e-05,5.6541e-05,-3.3603e-05,2.7885e-06,1.3149e-05,1,0.23,2,0.23,1
6.21e-05,0.12349,-0.00021914,0.0032516,0.00018582,3.2201e-05,5.6208e-05,-3.3608e-05,2.71e-06,1.3063e-05,1,0.232,2,0.232,1
6.2255e-05,0.12336,-0.00024909,0.0031029,0.00018447,3.2194e-05,5.5874e-05,-3.3614e-05,2.6315e-06,1.2977e-05,1,0.234,2,0.234,1
6.2411e-05,0.12323,-0.00027903,0.0029542,0.00018312,3.2188e-05,5.5541e-05,-3.362e-05,2.553e-06,1.2891e-05,1,0.236,2,0.236,1
6.2566e-05,0.12309,-0.00030897,0.0028054,0.00018178,3.2181e-05,5.5207e-05,-3.3626e-05,2.4744e-06,1.2804e-05,1,0.238,2,0.238,1
6.2721e-05,0.12296,-0.00033891,0.0026567,0.00018043,3.2175e-05,5.4874e-05,-3.3631e-05,2.3959e-06,1.2718e-05,1,0.24,2,0.24,1
6.277e-05,0.12282,-0.00035975,0.0025056,0.00017918,3.2156e-05,5.4555e-05,-3.3609e-05,2.3193e-06,1.2598e-05,1,0.242,2,0.242,1
6.2528e-05,0.12265,-0.00035589,0.0023481,0.00017817,3.2102e-05,5.4277e-05,-3.351e-05,2.2478e-06,1.2384e-05,1,0.244,2,0.244,1
6.2286e-05,0.12248,-0.00035202,0.0021906,0.00017716,3.2048e-05,5.3998e-05,-3.341e-05,2.1763e-06,1.217e-05,1,0.246,2,0.246,1
6.2045e-05,0.12232,-0.00034815,0.0020331,0.00017615,3.1994e-05,5.3719e-05,-3.3311e-05,2.1047e-06,1.1957e-05,1,0.248,2,0.248,1
6.1803e-05,0.12215,-0.00034429,0.0018756,0.00017514,3.194e-05,5.3441e-05,-3.3212e-05,2.0332e-06,1.1743e-05,1,0.25,2,0.25,1
6.1561e-05,0.12198,-0.00034042,0.0017181,0.00017413,3.1886e-05,5.3162e-05,-3.3112e-05,1.9617e-06,1.1529e-05,1,0.252,2,0.252,1
6.1319e-05,0.12182,-0.00033655,0.0015606,0.00017312,3.1832e-05,5.2883e-05,-3.3013e-05,1.8902e-06,1.1315e-05,1,0.254,2,0.254,1
6.1078e-05,0.12165,-0.00033269,0.0014031,0.00017211,3.1778e-05,5.2605e-05,-3.2914e-05,1.8187e-06,1.1101e-05,1,0.256,2,0.256,1
6.0836e-05,0.12148,-0.00032882,0.0012456,0.0001711,3.1724e-05,5.2326e-05,-3.2814e-05,1.7472e-06,1.0888e-05,1,0.258,2,0.258,1
6.0594e-05,0.12132,-0.00032495,0.0010881,0.00017009,3.167e-05,5.2047e-05,-3.2715e-05,1.6757e-06,1.0674e-05,1,0.26,2,0.26,1
6.0352e-05,0.12115,-0.00032109,0.00093061,0.00016908,3.1616e-05,5.1769e-05,-3.2616e-05,1.6041e-06,1.046e-05,1,0.262,2,0.262,1
6.0111e-05,0.12098,-0.00031722,0.00077311,0.00016807,3.1562e-05,5.149e-05,-3.2517e-05,1.5326e-06,1.0246e-05,1,0.264,2,0.264,1
5.9869e-05,0.12082,-0.00031335,0.00061562,0.00016706,3.1508e-05,5.1211e-05,-3.2417e-05,1.4611e-06,1.0033e-05,1,0.266,2,0.266,1
5.9627e-05,0.12065,-0.00030949,0.00045812,0.00016605,3.1454e-05,5.0933e-05,-3.2318e-05,1.3896e-06,9.8188e-06,1,0.268,2,0.268,1
5.9386e-05,0.12048,-0.00030562,0.00030062,0.00016504,3.14e-05,5.0654e-05,-3.2219e-05,1.3181e-06,9.605e-06,1,0.27,2,0.27,1
5.9144e-05,0.12032,-0.00030175,0.00014312,0.00016403,3.1346e-05,5.0375e-05,-3.2119e-05,1.2466e-06,9.3912e-06,1,0.272,2,0.272,1
5.8902e-05,0.12015,-0.00029789,-1.4371e-05,0.00016302,3.1292e-05,5.0097e-05,-3.202e-05,1.1751e-06,9.1775e-06,1,0.274,2,0.274,1
5.866e-05,0.11998,-0.00029402,-0.00017187,0.00016201,3.1238e-05,4.9818e-05,-3.1921e-05,1.1035e-06,8.9637e-06,1,0.276,2,0.276,1
5.8806e-05,0.1198,-0.00025891,-0.00040252,0.00016076,3.1176e-05,4.9608e-05,-3.1733e-05,1.0839e-06,8.8312e-06,1,0.278,2,0.278,1
5.8978e-05,0.11961,-0.00022166,-0.00063819,0.00015948,3.1113e-05,4.9404e-05,-3.1539e-05,1.0679e-06,8.7043e-06,1,0.28,2,0.28,1
5.915e-05,0.11942,-0.00018441,-0.00087387,0.00015821,3.105e-05,4.9199e-05,-3.1345e-05,1.0518e-06,8.5773e-06,1,0.282,2,0.282,1
5.9322e-05,0.11923,-0.00014715,-0.0011095,0.00015694,3.0987e-05,4.8994e-05,-3.115e-05,1.0357e-06,8.4504e-06,1,0.284,2,0.284,1
5.9495e-05,0.11904,-0.0001099,-0.0013452,0.00015566,3.0924e-05,4.8789e-05,-3.0956e-05,1.0197e-06,8.3235e-06,1,0.286,2,0.286,1
5.9667e-05,0.11884,-7.2645e-05,-0.0015809,0.00015439,3.086e-05,4.8584e-05,-3.0762e-05,1.0036e-06,8.1966e-06,1,0.288,2,0.288,1
5.9839e-05,0.11865,-3.5392e-05,-0.0018166,0.00015312,3.0797e-05,4.8379e-05,-3.0568e-05,9.8758e-07,8.0697e-06,1,0.29,2,0.29,1
6.0011e-05,0.11846,1.8623e-06,-0.0020522,0.00015184,3.0734e-05,4.8174e-05,-3.0374e-05,9.7152e-07,7.9428e-06,1,0.292,2,0.292,1
6.0183e-05,0.11827,3.9116e-05,-0.0022879,0.00015057,3.0671e-05,4.7969e-05,-3.018e-05,9.5547e-07,7.8158e-06,1,0.294,2,0.294,1
6.0355e-05,0.11808,7.637e-05,-0.0025236,0.0001493,3.0608e-05,4.7764e-05,-2.9986e-05,9.3941e-07,7.6889e-06,1,0.296,2,0.296,1
6.0527e-05,0.11789,0.00011362,-0.0027593,0.00014802,3.0545e-05,4.7559e-05,-2.9792e-05,9.2336e-07,7.562e-06,1,0.298,2,0.298,1
6.07e-05,0.1177,0.00015088,-0.002995,0.00014675,3.0482e-05,4.7354e-05,-2.9598e-05,9.073e-07,7.4351e-06,1,0.3,2,0.3,1
6.0872e-05,0.11751,0.00018813,-0.0032306,0.00014548,3.0419e-05,4.7149e-05,-2.9404e-05,8.9124e-07,7.3082e-06,1,0.302,2,0.302,1
