"p","U:0","U:1","U:2","UPrime2Mean:0","UPrime2Mean:1","UPrime2Mean:2","UPrime2Mean:3","UPrime2Mean:4","UPrime2Mean:5","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00012732,0.13483,0.0019766,-0.0075299,0.00025005,2.9214e-05,6.2035e-05,-3.3777e-05,-1.8258e-06,-2.3666e-06,1,0.152,2,0.152,1.5
0.00012676,0.1351,0.0020908,-0.0075513,0.00024705,2.9423e-05,6.1705e-05,-3.3612e-05,-1.8339e-06,-2.6493e-06,1,0.154,2,0.154,1.5
0.00012621,0.13534,0.0021928,-0.0075588,0.00024415,2.9632e-05,6.1372e-05,-3.3469e-05,-1.8497e-06,-2.8824e-06,1,0.156,2,0.156,1.5
0.00012571,0.13528,0.0021672,-0.0074202,0.00024224,2.9847e-05,6.1022e-05,-3.3547e-05,-1.9467e-06,-2.5962e-06,1,0.158,2,0.158,1.5
0.0001252,0.13523,0.0021417,-0.0072815,0.00024033,3.0063e-05,6.0672e-05,-3.3625e-05,-2.0436e-06,-2.3101e-06,1,0.16,2,0.16,1.5
0.0001247,0.13518,0.0021161,-0.0071429,0.00023843,3.0278e-05,6.0321e-05,-3.3703e-05,-2.1406e-06,-2.024e-06,1,0.162,2,0.162,1.5
0.0001242,0.13512,0.0020905,-0.0070042,0.00023652,3.0494e-05,5.9971e-05,-3.3782e-05,-2.2375e-06,-1.7379e-06,1,0.164,2,0.164,1.5
0.00012369,0.13507,0.002065,-0.0068656,0.00023461,3.0709e-05,5.9621e-05,-3.386e-05,-2.3345e-06,-1.4518e-06,1,0.166,2,0.166,1.5
0.00012319,0.13501,0.0020394,-0.006727,0.00023271,3.0925e-05,5.9271e-05,-3.3938e-05,-2.4314e-06,-1.1656e-06,1,0.168,2,0.168,1.5
0.00012268,0.13514,0.0020706,-0.0066988,0.00023058,3.1083e-05,5.8954e-05,-3.3944e-05,-2.4598e-06,-1.1621e-06,1,0.17,2,0.17,1.5
0.00012217,0.13537,0.0021334,-0.006732,0.00022834,3.1209e-05,5.8656e-05,-3.3909e-05,-2.4501e-06,-1.3155e-06,1,0.172,2,0.172,1.5
0.00012165,0.1356,0.0021962,-0.0067651,0.00022609,3.1334e-05,5.8358e-05,-3.3874e-05,-2.4404e-06,-1.4688e-06,1,0.174,2,0.174,1.5
0.00012114,0.13583,0.002259,-0.0067983,0.00022384,3.146e-05,5.806e-05,-3.384e-05,-2.4307e-06,-1.6221e-06,1,0.176,2,0.176,1.5
0.00012063,0.13606,0.0023218,-0.0068314,0.0002216,3.1586e-05,5.7761e-05,-3.3805e-05,-2.421e-06,-1.7755e-06,1,0.178,2,0.178,1.5
0.00012012,0.13629,0.0023845,-0.0068646,0.00021935,3.1712e-05,5.7463e-05,-3.377e-05,-2.4113e-06,-1.9288e-06,1,0.18,2,0.18,1.5
0.00011967,0.13646,0.0024196,-0.0068557,0.00021726,3.1843e-05,5.7166e-05,-3.3761e-05,-2.4187e-06,-2.0197e-06,1,0.182,2,0.182,1.5
0.0001195,0.1364,0.0023429,-0.0066774,0.0002158,3.1994e-05,5.6875e-05,-3.3854e-05,-2.495e-06,-1.8587e-06,1,0.184,2,0.184,1.5
0.00011932,0.13635,0.0022662,-0.0064991,0.00021433,3.2146e-05,5.6583e-05,-3.3947e-05,-2.5714e-06,-1.6978e-06,1,0.186,2,0.186,1.5
0.00011915,0.13629,0.0021896,-0.0063208,0.00021286,3.2297e-05,5.6292e-05,-3.404e-05,-2.6477e-06,-1.5369e-06,1,0.188,2,0.188,1.5
0.00011897,0.13623,0.0021129,-0.0061425,0.0002114,3.2448e-05,5.6e-05,-3.4132e-05,-2.7241e-06,-1.376e-06,1,0.19,2,0.19,1.5
0.0001188,0.13618,0.0020362,-0.0059642,0.00020993,3.2599e-05,5.5709e-05,-3.4225e-05,-2.8004e-06,-1.2151e-06,1,0.192,2,0.192,1.5
